date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2007-01-21,"Stout, Brandon L.",Specialist,United States,U.S. Army National Guard,23,Iraq,Baghdad,Baghdad (north of),hostile,hostile fire - ied attack,Michigan,Grand Rapids,9883640
2007-01-20,"Hill, Ryan J.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (north of),hostile,hostile fire - ied attack,Oregon,Keizer,3831074
2007-01-20,"Morris, Darrel J.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Washington,Spokane,6724540
2007-01-20,"McNeill, Phillip D.",Sergeant,United States,U.S. Army,22,Iraq,Anbar,Karmah,hostile,hostile fire - ied attack,Florida,Sunrise,18801310
2007-01-20,"Fennerty, Sean P.",Sergeant,United States,U.S. Army,26,Iraq,Anbar,Karmah,hostile,hostile fire - ied attack,Oregon,Corvallis,3831074
2007-01-20,"Olsen, Toby R.",Specialist,United States,U.S. Army,28,Iraq,Anbar,Karmah,hostile,hostile fire - ied attack,New Hampshire,Manchester,1316470
2007-01-20,"Bisson, Jeffrey D.",Specialist,United States,U.S. Army,22,Iraq,Anbar,Karmah,hostile,hostile fire - ied attack,California,Vista,37253956
2007-01-20,"Jaynes, Allen B.",Private 1st Class,United States,U.S. Army,21,Iraq,Baghdad,Baghdad (northern part),hostile,hostile fire - ied attack,Texas,Henderson,25145561
2007-01-20,"Taylor, Michael",Major,United States,U.S. Army National Guard,40,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Arkansas,Little Rock,2915918
2007-01-20,"Haller, Roger W.",Command Sergeant Major,United States,U.S. Army National Guard,49,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Maryland,Davidsonville,5773552
2007-01-20,"Booker, Daryl D.",Staff Sergeant,United States,U.S. Army National Guard,37,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Virginia,Midlothian,8001024
2007-01-20,"Kelly, Paul M.",Colonel,United States,U.S. Army National Guard,45,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Virginia,Stafford,8001024
2007-01-20,"Allgood, Brian D.",Colonel,United States,U.S. Army,46,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Oklahoma,Not reported yet,3751351
2007-01-20,"Gabbard, Marilyn L.",Sergeant Major,United States,U.S. Army National Guard,46,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Iowa,Polk City,3046355
2007-01-20,"Brown, John G.",Sergeant 1st Class,United States,U.S. Army National Guard,43,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Arkansas,Little Rock,2915918
2007-01-20,"Canegata, David C.",Lieutenant Colonel,United States,U.S. Army National Guard,50,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Virgin Islands,St. Croix,NA
2007-01-20,"Lake, Floyd E.",Staff Sergeant,United States,U.S. Army National Guard,43,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Virgin Islands,St. Thomas,NA
2007-01-20,"Langarica, Victor M.",Corporal,United States,U.S. Army,29,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Georgia,Decatur,9687653
2007-01-20,"Lyerly, Sean E.",Captain,United States,U.S. Army National Guard,31,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Texas,Pflugerville,25145561
2007-01-20,"Warren, William T.",1st Sergeant,United States,U.S. Army National Guard,48,Iraq,Diyala,Baghdad (north of),hostile,helicopter crash,Arkansas,Little Rock,2915918
2007-01-20,"Falter, Shawn Patrick",Private,United States,U.S. Army,25,Iraq,Karbala,Karbala,hostile,"hostile fire - small arms fire, grenades",New York,Cortland,19378102
2007-01-20,"Chism, Johnathan Bryan",Specialist,United States,U.S. Army,22,Iraq,Karbala,Karbala,hostile,"hostile fire - small arms fire, grenades",Louisiana,Gonzales,4533372
2007-01-20,"Freeman, Brian Scott",Captain,United States,U.S. Army Reserve,31,Iraq,Karbala,Karbala,hostile,"hostile fire - mortar, small arms fire",California,Temecula,37253956
2007-01-20,"Millican, Jonathan",Private 1st Class,United States,U.S. Army,20,Iraq,Karbala,Karbala,hostile,"hostile fire - small arms fire, grenades",Alabama,Trafford,4779736
2007-01-20,"Fritz, Jacob N.",1st Lieutenant,United States,U.S. Army,25,Iraq,Karbala,Karbala,hostile,"hostile fire - small arms fire, grenades",Nebraska,Vernon,1826341
2007-01-20,"Kingman, Jonathan P. C.",Sergeant,United States,U.S. Army,21,Iraq,Salah ad Din,Bayji,hostile,hostile fire - ied attack,Ohio,Nankin,11536504
2007-01-19,"Borea, Russell P.",Sergeant 1st Class,United States,U.S. Army,38,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,Texas,El Paso,25145561
2007-01-19,"Neal, Jacob H.",Corporal,United States,U.S. Marine Reserve,23,Iraq,Anbar,Fallujah,hostile,hostile fire,Texas,San Marcos,25145561
2007-01-19,"Castillo, Luis J.",Lance Corporal,United States,U.S. Marine Reserve,20,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Michigan,Lawton,9883640
2007-01-18,"Rechenmacher, William J.",Corporal,United States,U.S. Army,24,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Florida,Jacksonville,18801310
2007-01-17,"Alomar, Joseph D.",Petty Officer 2nd Class,United States,U.S. Navy,22,Iraq,Basra,Camp Bucca,non-hostile,in hostile fire zone,New York,Brooklyn,19378102
2007-01-17,"Valdivia, Jennifer A.",Petty Officer 1st Class,United States,U.S. Navy,27,Iraq,NA,Bahrain,non-hostile,NA,Illinois,Cambridge,12830632
2007-01-16,"Schockmel, Collin R.",Specialist,United States,U.S. Army,19,Iraq,Anbar,Ramadi,hostile,hostile fire - grenade,Texas,Richwood,25145561
2007-01-15,"Grimm, Matthew T.",Corporal,United States,U.S. Army,21,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,Wisconsin,Wisconsin Rapids,5686986
2007-01-15,"Cooper, John E.",Sergeant,United States,U.S. Army,29,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,Kentucky,Ewing,4339367
2007-01-15,"Anderson, Ian C.",Sergeant,United States,U.S. Army,22,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,Kansas,Prairie Village,2853118
2007-01-15,"Daily, Mark J.",2nd Lieutenant,United States,U.S. Army,23,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,California,Irvine,37253956
2007-01-15,"Corbett, Jason J.",Specialist,United States,U.S. Army,23,Iraq,Anbar,Karmah,hostile,hostile fire - small arms fire,Wyoming,Casper,563626
2007-01-14,"Riekena, James D.",Sergeant,United States,U.S. Army,22,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Washington,Redmond,6724540
2007-01-14,"Sanchez, Paul T.",Sergeant,United States,U.S. Army,32,Iraq,Baghdad,Baghdad (north of),hostile,hostile fire - ied attack,Texas,Irving,25145561
2007-01-13,"Wright, Gregroy A.",Sergeant,United States,U.S. Army,28,Iraq,Diyala,Muqdadiyah,hostile,hostile fire - ied attack,Massachusetts,Boston,6547629
2007-01-09,"Berg, Ryan R.",Private 1st Class,United States,U.S. Army,19,Iraq,Diyala,Ba'qubah,hostile,hostile fire - small arms fire,Texas,Sabine Pass,25145561
2007-01-09,"Sun, Ming",Private 1st Class,United States,U.S. Army,20,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,California,Cathedral City,37253956
2007-01-09,"Wosika Jr., James M.",Sergeant,United States,U.S. Army,24,Iraq,Anbar,Fallujah (outside of),hostile,hostile fire - ied attack,Minnesota,St. Paul,5303925
2007-01-07,"Weiner, Timothy R.",Technical Sergeant,United States,U.S. Air Force,35,Iraq,Babil,Mahmudiyah,hostile,hostile fire - ied attack,Florida,Tamarac,18801310
2007-01-07,"Loncki, Elizabeth A.",Senior Airman,United States,U.S. Air Force,23,Iraq,Babil,Mahmudiyah,hostile,hostile fire - ied attack,Delaware,New Castle,897934
2007-01-07,"Miller Jr., Daniel B.",Senior Airman,United States,U.S. Air Force,24,Iraq,Babil,Mahmudiyah,hostile,hostile fire - ied attack,Illinois,Galesburg,12830632
2007-01-07,"Raderstorf, Stephen J.",Corporal,United States,U.S. Army,21,Iraq,Salah ad Din,Balad,hostile,hostile fire,Arizona,Peoria,6392017
2007-01-07,"Caldwell, Eric T.",Corporal,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (north of),hostile,hostile fire - small arms fire,Maryland,Salisbury,5773552
2007-01-06,"Johnson, Jeremiah",Corporal,United States,U.S. Army,23,Iraq,Baghdad,Baghdad (south of),non-hostile,vehicle rollover,Washington,Vancouver,6724540
2007-01-06,"Mitchell, III, Raymond N.",Specialist,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Arkansas,West Memphis,2915918
2007-01-05,"Mundell, Michael Lewis",Major,United States,U.S. Army Reserve,47,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Kentucky,Brandenburg,4339367
2007-01-04,"Allen, Charles D.",Staff Sergeant,United States,U.S. Army,28,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Alaska,Wasilla,710231
2007-01-01,"Vandling Jr., Thomas E.",Sergeant,United States,U.S. Army Reserve,26,Iraq,Baghdad,Baghdad (south of),hostile,hostile fire - ied attack,Pennsylvania,Pittsburgh,12702379
2006-12-31,"Grant, Sandra S.",Seaman,United States,U.S. Navy,23,Iraq,NA,Arabian Gulf,non-hostile,natural causes,North Carolina,Linwood,9535483
2006-12-31,"Smith, Richard A.",Corporal,United States,U.S. Army,20,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,Texas,Grand Prairie,25145561
2006-12-31,"Schiller, Jonathan E.",Corporal,United States,U.S. Army,20,Iraq,Diyala,Ba'qubah,hostile,hostile fire - ied attack,Iowa,Ottumwa,3046355
2006-12-31,"Blohm, Alan R.",Private 1st Class,United States,U.S. Army,21,Iraq,Baghdad,Baghdad (South of),hostile,hostile fire - ied attack,Alaska,Kenai,710231
2006-12-30,"Dietrich, David E.",Private,United States,U.S. Army,21,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Pennsylvania,Marysville,12702379
2006-12-30,"Sullivan, John M.",Sergeant,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (southwest part),hostile,hostile fire - ied attack,Tennessee,Hixon,6346105
2006-12-29,"Newgard, William R.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (north of),hostile,hostile fire - ied attack,Illinois,Arlington Heights,12830632
2006-12-29,"Carter, Lawrance J.",Sergeant,United States,U.S. Army,25,Iraq,Baghdad,Baghdad (northwest part),hostile,hostile fire - ied attack,California,Rancho Cucamonga,37253956
2006-12-28,"Spencer, William D.",Lance Corporal,United States,U.S. Marine Reserve,20,Iraq,Anbar,Fallujah,hostile,hostile fire - small arms fire,Tennessee,Paris,6346105
2006-12-28,"Miller, Nicholas A.",Lance Corporal,United States,U.S. Marine Reserve,20,Iraq,Anbar,Fallujah,hostile,hostile fire - small arms fire,Michigan,Silverwood,9883640
2006-12-28,"Donica, Dustin R.",Specialist,United States,U.S. Army,22,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Texas,Spring,25145561
2006-12-28,"Ayala, Luis G.",Specialist,United States,U.S. Army,21,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,California,South Gate,37253956
2006-12-28,"Esckelson, Christopher E.",Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Fallujah,hostile,hostile fire - small arms fire,Michigan,Vassar,9883640
2006-12-28,"Blum, Aron C.",Sergeant,United States,U.S. Marine,22,Iraq,Anbar,San Diego (Naval Medical Center),non-hostile,NA,Arizona,Tucson,6392017
2006-12-27,"Tinsley, Douglas L.",Specialist,United States,U.S. Army,21,Iraq,Babil,Baghdad (South of),non-hostile,vehicle rollover,South Carolina,Chester,4625364
2006-12-27,"Koprince Jr., William C.",Lance Corporal,United States,U.S. Marine,24,Iraq,Anbar,Habbaniyah,hostile,hostile fire,Tennessee,Lenoir City,6346105
2006-12-27,"Given, Nathaniel A.",Private 1st Class,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Texas,Dickinson,25145561
2006-12-27,"Messer, Christopher P.",Sergeant,United States,U.S. Army,28,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Florida,Petersburg,18801310
2006-12-27,"McCormick, Clinton T.",Private,United States,U.S. Army,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Florida,Jacksonville,18801310
2006-12-27,"Shaffer, Edward W.",Sergeant,United States,U.S. Army,24,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Pennsylvania,Mont Alto,12702379
2006-12-26,"Bubeck, John T.",Sergeant,United States,U.S. Army,25,Iraq,Baghdad,Baghdad (northwest of),hostile,hostile fire - ied attack,Pennsylvania,Collegeville,12702379
2006-12-26,"Schmitz, Joshua M.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Wisconsin,Spencer,5686986
2006-12-26,"Strong, Joseph A.",Specialist,United States,U.S. Army,21,Iraq,Babil,Baghdad (South of),non-hostile,vehicle rollover,Indiana,Lebanon,6483802
2006-12-25,"Denfrund, Jason C.",Sergeant,United States,U.S. Army,24,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,New York,Cattaraugus,19378102
2006-12-25,"Wilkus, Eric R.",Private,United States,U.S. Army,25,Iraq,Baghdad,Landstuhl Reg. Med. Ctr.,non-hostile,NA,New Jersey,Hamilton,8791894
2006-12-25,"Moon, Jae S.",Sergeant,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Pennsylvania,Levittown,12702379
2006-12-25,"Wheelous, Dexter E.",Sergeant 1st Class,United States,U.S. Army,37,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Georgia,Winder,9687653
2006-12-25,"Clayton, Hayes",Captain,United States,U.S. Army,29,Iraq,Salah ad Din,Balad,hostile,hostile fire - ied attack,Georgia,Marietta,9687653
2006-12-25,"Nelson, Andrew H.",Private 1st Class,United States,U.S. Army,19,Iraq,Baghdad,Baghdad (northwest of),hostile,hostile fire - ied attack,Michigan,Saint Johns,9883640
2006-12-25,"Preston, Aaron L.",Specialist,United States,U.S. Army,29,Iraq,Baghdad,Baghdad (northwest of),hostile,hostile fire - ied attack,Texas,Dallas,25145561
2006-12-24,"Morris, Stephen L.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Albu Hyatt,hostile,hostile fire - ied attack,Texas,Lake Jackson,25145561
2006-12-24,"Bixler, Evan A.",Private,United States,U.S. Army,21,Iraq,Anbar,Hit,hostile,hostile fire - indirect fire,Wisconsin,Racine,5686986
2006-12-23,"Elias, Elias",Specialist,United States,U.S. Army,27,Iraq,Baghdad,Baghdad (southwest of),hostile,hostile fire - ied attack,California,Glendora,37253956
2006-12-23,"Norris, Curtis L.",Sergeant,United States,U.S. Army,28,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Michigan,Dansville,9883640
2006-12-23,"Mejia II, Bobby",Private,United States,U.S. Army,20,Iraq,Babil,Salman Pak,hostile,hostile fire - ied attack,Michigan,Saginaw,9883640
2006-12-23,"Algrim, Wilson A.",Private 1st Class,United States,U.S. Army National Guard,21,Iraq,Babil,Salman Pak,hostile,hostile fire - ied attack,Michigan,Howell,9883640
2006-12-23,"Vollmer, Chad J.",Sergeant,United States,U.S. Army National Guard,21,Iraq,Babil,Salman Pak,hostile,hostile fire - ied attack,Michigan,Grand Rapids,9883640
2006-12-23,"Barta, John",Corporal,United States,U.S. Army,25,Iraq,Diyala,Buhritz,hostile,hostile fire - indirect fire,Texas,Corpus Christi,25145561
2006-12-23,"Crutchfield, Michael J.",Specialist,United States,U.S. Army,21,Iraq,Salah ad Din,Balad (Camp Anaconda),non-hostile,NA,California,Stockton,37253956
2006-12-22,"Sheppard, Joshua D.",Specialist,United States,U.S. Army,22,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Oklahoma,Quinton,3751351
2006-12-21,"Nolen, Kyle A.",Hospitalman,United States,U.S. Navy,21,Iraq,Anbar,Ah Nahiyah,hostile,hostile fire - ied attack,Texas,Ennis,25145561
2006-12-21,"Mayhan, Ryan L.",Lance Corporal,United States,U.S. Marine,25,Iraq,Anbar,Ah Nahiyah,hostile,hostile fire - ied attack,California,Hawthorne,37253956
2006-12-21,"Burgess, Ryan J.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Ah Nahiyah,hostile,hostile fire - ied attack,Michigan,Sanford,9883640
2006-12-21,"Tamayo, Fernando S.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Ah Nahiyah,hostile,hostile fire - ied attack,California,Fontana,37253956
2006-12-20,"Volker, Robert J.",Specialist,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Texas,Big Spring,25145561
2006-12-20,"McMillan, Jacob G.",Staff Sergeant,United States,U.S. Army,25,Iraq,Baghdad,Baghdad,hostile,"hostile fire - small arms fire, ied",Louisiana,Lafayette,4533372
2006-12-20,"Dykman, Scott D.",Sergeant,United States,U.S. Army,27,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Montana,Helena,989415
2006-12-20,"Sebastien, Myles Cody",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Ramadi,hostile,hostile fire,Louisiana,Opelousas,4533372
2006-12-19,"Pickard, Joshua D.",Corporal,United States,U.S. Marine,20,Iraq,Anbar,Fallujah,hostile,hostile fire,California,Merced,37253956
2006-12-19,"Daul, Andrew P.",Specialist,United States,U.S. Army,21,Iraq,Anbar,Hit,hostile,hostile fire - ied attack,Michigan,Brighton,9883640
2006-12-18,"Mintzlaff, Brian L.",Staff Sergeant,United States,U.S. Army,34,Iraq,Baghdad,Taji,non-hostile,vehicle rollover,Texas,Fort Worth,25145561
2006-12-18,"Kryst, Kevin M.",Captain,United States,U.S. Marine,27,Iraq,Anbar,Ar Rutbah (near),hostile,hostile fire - mortar attack,Wisconsin,West Bend,5686986
2006-12-17,"Stanton, Seth M.",Private 1st Class,United States,U.S. Army,19,Iraq,Baghdad,Taji (Died in Balad),hostile,hostile fire - ied attack,Colorado,Colorado Springs,5029196
2006-12-16,"Stanley, Matthew J.",Specialist,United States,U.S. Army,22,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,New Hampshire,Wolfeboro Falls,1316470
2006-12-16,"Staats, David R.",Staff Sergeant,United States,U.S. Army,30,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,Colorado,Pueblo,5029196
2006-12-16,"Baines, Joe L.",Private 1st Class,United States,U.S. Army,19,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,New Jersey,Newark,8791894
2006-12-16,"Palmer, Nick J.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Fallujah,hostile,hostile fire - sniper fire,Colorado,Leadville,5029196
2006-12-15,"Balint Jr., Paul",Private 1st Class,United States,U.S. Army,22,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Texas,Willow Park,25145561
2006-12-15,"Kahalewai, Henry K.",Staff Sergeant,United States,U.S. Army,43,Iraq,Baghdad,"Brooke Army Med Center, TX",hostile,hostile fire - ied attack,Hawaii,Hilo,1360301
2006-12-14,"Clark, Matthew W.",Lance Corporal,United States,U.S. Marine,22,Iraq,Anbar,Albu Hyatt,hostile,hostile fire - ied attack,Missouri,St. Louis,5988927
2006-12-14,"Yepsen, Luke C.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Fallujah,hostile,hostile fire - small arms fire,Texas,Kingwood,25145561
2006-12-14,"Spatol, Theodore A.",Staff Sergeant,United States,U.S. Army National Guard,59,Iraq,NA,Thermopolis,non-hostile,illness,Wyoming,Thermopolis,563626
2006-12-12,"Dunkleberger, Brent W.",Sergeant,United States,U.S. Army,29,Iraq,Ninewa,Mosul,hostile,hostile fire - rpg attack,Pennsylvania,Bloomfield,12702379
2006-12-12,"Davis, Gloria D.",Major,United States,U.S. Army,47,Iraq,Baghdad,Baghdad,non-hostile,suicide,Missouri,St. Louis,5988927
2006-12-11,"McAnulty, Brian P.",Master Sergeant,United States,U.S. Marine,39,Iraq,Anbar,Al Anbar Province,non-hostile,helicopter crash,Mississippi,Vicksburg,2967297
2006-12-11,"Miller, Clinton J.",Lance Corporal,United States,U.S. Marine,23,Iraq,Anbar,Khaldiyah,hostile,hostile fire - ied attack,Iowa,Greenfield,3046355
2006-12-11,"Dillon, Matthew V.",Corporal,United States,U.S. Marine,25,Iraq,Anbar,Khaldiyah,hostile,hostile fire - ied attack,South Carolina,Aiken,4625364
2006-12-11,"Cote, Budd M.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Khaldiyah,hostile,hostile fire - ied attack,Arizona,Marana,6392017
2006-12-10,"Steinbacher, Nicholas P.",Specialist,United States,U.S. Army,22,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,California,La Crescenta,37253956
2006-12-10,"Gibson, Brennan C.",Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Oregon,Tualatin,3831074
2006-12-10,"Ford, Philip C.",Specialist,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Texas,Freeport,25145561
2006-12-10,"Murphy, Shawn M.",Private 1st Class,United States,U.S. Army,24,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,North Carolina,Fort Bragg,9535483
2006-12-10,"Clemons, Thomas W.",Staff Sergeant,United States,U.S. Army National Guard,37,Iraq,Qadisiyah,Diwaniyah (near),non-hostile,illness - heart attack,Kentucky,Leitchfield,4339367
2006-12-09,"Krissoff, Nathan M.",1st Lieutenant,United States,U.S. Marine,25,Iraq,Anbar,Al Taqaddum,hostile,hostile fire - ied attack,Nevada,Truckee,2700551
2006-12-07,"Ciraso, Kristofer R.",Staff Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Maine,Bangor,1328361
2006-12-07,"Gifford, Micah S.",Specialist,United States,U.S. Army,27,Iraq,Baghdad,Baghdad (South of),hostile,hostile fire - ied attack,California,Redding,37253956
2006-12-07,"Linck, Henry W.",Staff Sergeant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad (South of),hostile,hostile fire - ied attack,Kansas,Manhattan,2853118
2006-12-07,"Beeler, Brent E.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Fallujah,hostile,hostile fire,Michigan,Jackson,9883640
2006-12-06,"McClung, Megan M.",Major,United States,U.S. Marine Reserve,34,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Washington,Coupeville,6724540
2006-12-06,"Libby, Dustin J.",Corporal,United States,U.S. Marine,22,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Maine,Presque Isle,1328361
2006-12-06,"Pomante III, Vincent J.",Specialist,United States,U.S. Army,22,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Ohio,Westerville,11536504
2006-12-06,"Patriquin, Travis L.",Captain,United States,U.S. Army,32,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Illinois,Lockport,12830632
2006-12-06,"Madden, Joshua B.",Sergeant,United States,U.S. Army,21,Iraq,Kirkuk,Hawijah,hostile,hostile fire - ied attack,Louisiana,Sibley,4533372
2006-12-06,"Castro, Jesse J.J.",Sergeant,United States,U.S. Army,22,Iraq,Kirkuk,Hawijah,hostile,hostile fire - ied attack,Guam,Chalan Pago,NA
2006-12-06,"Huffman, Jason",Corporal,United States,U.S. Army,23,Iraq,Kirkuk,Hawijah,hostile,hostile fire - ied attack,North Carolina,Conover,9535483
2006-12-06,"Mokri, Yari",Specialist,United States,U.S. Army,26,Iraq,Kirkuk,Hawijah,hostile,hostile fire - ied attack,Texas,Pflugerville,25145561
2006-12-06,"Krege, Travis C.",Private 1st Class,United States,U.S. Army,24,Iraq,Kirkuk,Hawijah,hostile,hostile fire - ied attack,New York,Cheektowaga,19378102
2006-12-06,"Ryndych, Yevgeniy",Sergeant,United States,U.S. Army,24,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,New York,Brooklyn,19378102
2006-12-06,"Watson, Cody G.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Fallujah,non-hostile,NA,Alabama,Oxford,4779736
2006-12-06,"Gibbs, Nicholas R.",Specialist,United States,U.S. Army,25,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,North Carolina,Stokesdale,9535483
2006-12-05,"Miller, Marco L.",Sergeant,United States,U.S. Army,36,Iraq,Salah ad Din,Landstuhl Reg. Med. Ctr.,hostile,hostile fire - indirect fire,Florida,Longwood,18801310
2006-12-05,"Hess, Jordan W.",Specialist,United States,U.S. Army,26,Iraq,Kirkuk,"Brooke Army Med Center, TX",hostile,hostile fire - ied attack,Washington,Marysville,6724540
2006-12-04,"Adkins, Dustin M.",Sergeant,United States,U.S. Army,22,Iraq,Anbar,Haditha,non-hostile,helicopter crash,Tennessee,Finger,6346105
2006-12-04,"McGinnis, Ross A.",Private,United States,U.S. Army,19,Iraq,Baghdad,Baghdad,hostile,hostile fire - grenade,Pennsylvania,Knox,12702379
2006-12-04,"Turcotte, Nicholas D.",Sergeant,United States,U.S. Army National Guard,23,Iraq,Dhi Qar,An Nasiriyah,non-hostile,vehicle accident,Minnesota,Maple Grove,5303925
2006-12-04,"Gauthreaux, Jay R.",Sergeant,United States,U.S. Army,26,Iraq,Diyala,Ba'qubah (died in Balad),hostile,hostile fire - ied attack,Louisiana,Thibodaux,4533372
2006-12-04,"Anderson, Christopher A.",Hospitalman,United States,U.S. Navy,24,Iraq,Anbar,Ramadi,hostile,hostile fire,Colorado,Longmont,5029196
2006-12-04,"Echols, Thomas P.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Ramadi,hostile,hostile fire,Kentucky,Shepherdsville,4339367
2006-12-04,"Nelson, Albert M.",Private 1st Class,United States,U.S. Army,31,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Pennsylvania,Philadelphia,12702379
2006-12-04,"Suarez-Gonzalez, Roger A.",Private 1st Class,United States,U.S. Army,21,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Florida,Miami,18801310
2006-12-03,"Farris, Billy B.",Corporal,United States,U.S. Army,20,Iraq,Baghdad,Taji,hostile,hostile fire - ied attack,Arizona,Bapchule,6392017
2006-12-03,"Haines, Kenneth W.",Specialist,United States,U.S. Army,25,Iraq,Salah ad Din,Abu Hishma (died in Balad),hostile,hostile fire - ied attack,New York,Fulton,19378102
2006-12-03,"Cooper, Troy D.",Private,United States,U.S. Army,21,Iraq,Salah ad Din,Balad,hostile,hostile fire - ied attack,Texas,Amarillo,25145561
2006-12-03,"Evans, Kermit O.",Captain,United States,U.S. Air Force,31,Iraq,Anbar,Haditha,non-hostile,helicopter crash,Mississippi,Hollandale,2967297
2006-12-03,"McCloud, Joseph Trane",Major,United States,U.S. Marine,39,Iraq,Anbar,Haditha,non-hostile,helicopter crash,Michigan,Grosse Pointe Park,9883640
2006-12-03,"Sticklen, Joshua C.",Corporal,United States,U.S. Marine,24,Iraq,Anbar,Haditha,non-hostile,helicopter crash,Virginia,Virginia Beach,8001024
2006-12-03,"English, Shawn L.",Captain,United States,U.S. Army,35,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Ohio,Westerville,11536504
2006-12-02,"Fiscus, Keith E.",Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Taji (near),hostile,hostile fire - ied attack,Delaware,Townsend,897934
